Freq.	(V(n004)/I(R5)-50)/(V(n004)/I(R5)+50)
5.24807460249778e+005	(-9.82392374743516e+001dB,-2.15182629078999e+001°)
5.49540873857630e+005	(-9.81826160313409e+001dB,-2.24325311348917e+001°)
5.75439937337163e+005	(-9.81213627338697e+001dB,-2.33769828060632e+001°)
6.02559586074364e+005	(-9.80551713607115e+001dB,-2.43515403328591e+001°)
6.30957344480200e+005	(-9.79837273101970e+001dB,-2.53559845296954e+001°)
6.60693448007603e+005	(-9.79067093239897e+001dB,-2.63899426948822e+001°)
6.91830970918944e+005	(-9.78237915287552e+001dB,-2.74528774678546e+001°)
7.24435960074998e+005	(-9.77346457891143e+001dB,-2.85440768291528e+001°)
7.58577575029192e+005	(-9.76389443697312e+001dB,-2.96626456327077e+001°)
7.94328234724290e+005	(-9.75363628823454e+001dB,-3.08074990757460e+001°)
8.31763771102680e+005	(-9.74265834876191e+001dB,-3.19773585007258e+001°)
8.70963589956090e+005	(-9.73092983043631e+001dB,-3.31707499231384e+001°)
9.12010839355920e+005	(-9.71842129689168e+001dB,-3.43860056082237e+001°)
9.54992586021446e+005	(-9.70510502716694e+001dB,-3.56212690056623e+001°)
1.00000000000001e+006	(-9.69095537879339e+001dB,-3.68745032108989e+001°)
1.04712854805091e+006	(-9.67594914141010e+001dB,-3.81435030700233e+001°)
1.09647819614320e+006	(-9.66006587086439e+001dB,-3.94259108961897e+001°)
1.14815362149690e+006	(-9.64328819434182e+001dB,-4.07192356398796e+001°)
1.20226443461743e+006	(-9.62560207694176e+001dB,-4.20208752335954e+001°)
1.25892541179418e+006	(-9.60699704109465e+001dB,-4.33281416785711e+001°)
1.31825673855642e+006	(-9.58746633147216e+001dB,-4.46382883489526e+001°)
1.38038426460290e+006	(-9.56700701971580e+001dB,-4.59485388561242e+001°)
1.44543977074594e+006	(-9.54562004556216e+001dB,-4.72561167785995e+001°)
1.51356124843623e+006	(-9.52331019279221e+001dB,-4.85582754924449e+001°)
1.58489319246113e+006	(-9.50008600121803e+001dB,-4.98523273540586e+001°)
1.65958690743758e+006	(-9.47595961788444e+001dB,-5.11356715037792e+001°)
1.73780082874940e+006	(-9.45094659305046e+001dB,-5.24058196257000e+001°)
1.81970085861001e+006	(-9.42506562795462e+001dB,-5.36604191019634e+001°)
1.90546071796327e+006	(-9.39833828296997e+001dB,-5.48972730893248e+001°)
1.99526231496890e+006	(-9.37078865572812e+001dB,-5.61143571972486e+001°)
2.08929613085406e+006	(-9.34244303887958e+001dB,-5.73098325680051e+001°)
2.18776162394958e+006	(-9.31332956745485e+001dB,-5.84820552796611e+001°)
