time	V(bf_source)	V(samplecap)
7.231071996293031e-003	-7.873698382949752e-002	-9.855378560074139e-002
7.331071996293031e-003	-7.871887362671591e-002	-9.853378560074140e-002
7.431071996293031e-003	-7.870076342400272e-002	-9.851378560074139e-002
7.531071996293031e-003	-7.868265322105539e-002	-9.849378560074139e-002
7.631071996293030e-003	-7.866454301812008e-002	-9.847378560074140e-002
7.731071996293031e-003	-7.864643281540870e-002	-9.845378560074139e-002
7.831071996293031e-003	-7.862832261291733e-002	-9.843378560074140e-002
7.931071996293030e-003	-7.861021241056132e-002	-9.841378560074139e-002
8.031071996293032e-003	-7.859210220813470e-002	-9.839378560074140e-002
8.131071996293031e-003	-7.857399200566799e-002	-9.837378560074139e-002
8.231071996293030e-003	-7.855588180355470e-002	-9.835378560074140e-002
8.331071996293031e-003	-7.853777160153647e-002	-9.833378560074139e-002
8.431071996293031e-003	-7.851966139916962e-002	-9.831378560074139e-002
8.531071996293030e-003	-7.850155119697196e-002	-9.829378560074140e-002
8.631071996293031e-003	-7.848344099524870e-002	-9.827378560074139e-002
8.731071996293031e-003	-7.846533079360049e-002	-9.825378560074140e-002
8.831071996293030e-003	-7.844722059190039e-002	-9.823378560074139e-002
8.931071996293031e-003	-7.842911039017178e-002	-9.821378560074140e-002
9.031071996293031e-003	-7.841100018845307e-002	-9.819378560074139e-002
9.131071996293030e-003	-7.839288998701940e-002	-9.817378560074140e-002
9.231071996293031e-003	-7.837477978579230e-002	-9.815378560074139e-002
9.331071996293031e-003	-7.835666958447707e-002	-9.813378560074139e-002
9.431071996293030e-003	-7.833855938325064e-002	-9.811378560074140e-002
9.531071996293031e-003	-7.832044918216286e-002	-9.809378560074139e-002
9.631071996293030e-003	-7.830233898106542e-002	-9.807378560074140e-002
9.731071996293030e-003	-7.828422878008669e-002	-9.805378560074139e-002
9.831071996293031e-003	-7.826611857932732e-002	-9.803378560074140e-002
9.931071996293030e-003	-7.824800837863047e-002	-9.801378560074139e-002
1.003107199629303e-002	-7.822989817770523e-002	-9.799378560074139e-002
1.013107199629303e-002	-7.821178797689045e-002	-9.797378560074140e-002
1.023107199629303e-002	-7.819367777653663e-002	-9.795378560074139e-002
1.033107199629303e-002	-7.817556757618067e-002	-9.793378560074140e-002
1.043107199629303e-002	-7.815745737558112e-002	-9.791378560074139e-002
1.053107199629303e-002	-7.813934717504964e-002	-9.789378560074140e-002
1.063107199629303e-002	-7.812123697495486e-002	-9.787378560074139e-002
1.073107199629303e-002	-7.810312677527913e-002	-9.785378560074140e-002
1.083107199629303e-002	-7.808501657556423e-002	-9.783378560074139e-002
1.093107199629303e-002	-7.806690637550136e-002	-9.781378560074139e-002
1.103107199629303e-002	-7.804879617533406e-002	-9.779378560074140e-002
1.113107199629303e-002	-7.803068597534467e-002	-9.777378560074139e-002
1.123107199629303e-002	-7.801257577570499e-002	-9.775378560074140e-002
1.133107199629303e-002	-7.799446557634057e-002	-9.773378560074139e-002
1.143107199629303e-002	-7.797635537674316e-002	-9.771378560074140e-002
1.153107199629303e-002	-7.795824517709460e-002	-9.769378560074139e-002
1.163107199629303e-002	-7.794013497777713e-002	-9.767378560074140e-002
1.173107199629303e-002	-7.792202477859886e-002	-9.765378560074139e-002
1.183107199629303e-002	-7.790391457961682e-002	-9.763378560074139e-002
1.193107199629303e-002	-7.788580438075619e-002	-9.761378560074140e-002
1.203107199629303e-002	-7.786769418162554e-002	-9.759378560074139e-002
1.213107199629303e-002	-7.784958398250014e-002	-9.757378560074140e-002
1.223107199629303e-002	-7.783147378385809e-002	-9.755378560074139e-002
1.233107199629303e-002	-7.781336358534946e-002	-9.753378560074140e-002
1.243107199629303e-002	-7.779525338670146e-002	-9.751378560074139e-002
1.253107199629303e-002	-7.777714318813558e-002	-9.749378560074140e-002
1.263107199629303e-002	-7.775903298954277e-002	-9.747378560074139e-002
1.273107199629303e-002	-7.774092279097705e-002	-9.745378560074139e-002
1.283107199629303e-002	-7.772281259264481e-002	-9.743378560074140e-002
1.293107199629303e-002	-7.770470239430988e-002	-9.741378560074139e-002
1.303107199629303e-002	-7.768659219600246e-002	-9.739378560074140e-002
1.313107199629303e-002	-7.766848199797104e-002	-9.737378560074139e-002
1.323107199629303e-002	-7.765037180009535e-002	-9.735378560074140e-002
1.333107199629303e-002	-7.763226160222775e-002	-9.733378560074139e-002
1.343107199629303e-002	-7.761415140451325e-002	-9.731378560074139e-002
1.353107199629303e-002	-7.759604120706332e-002	-9.729378560074140e-002
1.363107199629303e-002	-7.757793100949088e-002	-9.727378560074139e-002
1.373107199629303e-002	-7.755982081167626e-002	-9.725378560074140e-002
1.383107199629303e-002	-7.754171061419107e-002	-9.723378560074139e-002
1.393107199629303e-002	-7.752360041712303e-002	-9.721378560074140e-002
1.403107199629303e-002	-7.750549021997394e-002	-9.719378560074139e-002
1.413107199629303e-002	-7.748738002267047e-002	-9.717378560074140e-002
1.423107199629303e-002	-7.746926982538266e-002	-9.715378560074139e-002
1.433107199629303e-002	-7.745115962823232e-002	-9.713378560074139e-002
1.443107199629303e-002	-7.743304943136205e-002	-9.711378560074140e-002
1.453107199629303e-002	-7.741493923440997e-002	-9.709378560074139e-002
1.463107199629303e-002	-7.739682903749039e-002	-9.707378560074140e-002
1.473107199629303e-002	-7.737871884101630e-002	-9.705378560074139e-002
1.483107199629303e-002	-7.736060864451821e-002	-9.703378560074140e-002
1.493107199629303e-002	-7.734249844781728e-002	-9.701378560074139e-002
1.503107199629303e-002	-7.732438825121270e-002	-9.699378560074140e-002
1.513107199629303e-002	-7.730627805484869e-002	-9.697378560074139e-002
1.523107199629303e-002	-7.728816785866265e-002	-9.695378560074139e-002
1.533107199629303e-002	-7.727005766255284e-002	-9.693378560074140e-002
1.543107199629303e-002	-7.725194746660366e-002	-9.691378560074139e-002
1.553107199629303e-002	-7.723383727071864e-002	-9.689378560074140e-002
1.563107199629303e-002	-7.721572707473673e-002	-9.687378560074139e-002
1.573107199629303e-002	-7.719761687882175e-002	-9.685378560074140e-002
1.583107199629303e-002	-7.717950668318455e-002	-9.683378560074139e-002
1.593107199629303e-002	-7.716139648767600e-002	-9.681378560074140e-002
1.603107199629303e-002	-7.714328629206368e-002	-9.679378560074139e-002
1.613107199629303e-002	-7.712517609652903e-002	-9.677378560074139e-002
1.623107199629303e-002	-7.710706590115860e-002	-9.675378560074140e-002
1.633107199629303e-002	-7.708895570579467e-002	-9.673378560074139e-002
1.643107199629303e-002	-7.707084551053538e-002	-9.671378560074140e-002
1.653107199629303e-002	-7.705273531548204e-002	-9.669378560074139e-002
1.663107199629303e-002	-7.703462512044250e-002	-9.667378560074140e-002
1.673107199629303e-002	-7.701651492535561e-002	-9.665378560074139e-002
1.683107199629303e-002	-7.699840473052318e-002	-9.663378560074139e-002
1.693107199629303e-002	-7.698029453583484e-002	-9.661378560074140e-002
1.703107199629303e-002	-7.696218434096552e-002	-9.659378560074139e-002
1.713107199629303e-002	-7.694407414610668e-002	-9.657378560074140e-002
1.723107199629303e-002	-7.692596395145719e-002	-9.655378560074139e-002
1.733107199629303e-002	-7.690785375693285e-002	-9.653378560074140e-002
1.743107199629303e-002	-7.688974356255776e-002	-9.651378560074139e-002
1.753107199629303e-002	-7.687163336865688e-002	-9.649378560074140e-002
1.763107199629303e-002	-7.685352317476774e-002	-9.647378560074139e-002
1.773107199629303e-002	-7.683541298035482e-002	-9.645378560074139e-002
