Freq.	V(bf_source)/V(samplecap)
8.25404185268033e+003	(-1.07288083232109e+000dB,-1.26013398450052e-001°)
8.31763771102686e+003	(-1.07301981351302e+000dB,-1.25801446277576e-001°)
8.38172356364177e+003	(-1.07315826317298e+000dB,-1.25583293808945e-001°)
8.44630318583984e+003	(-1.07329616808313e+000dB,-1.25359007113991e-001°)
8.51138038202392e+003	(-1.07343351525628e+000dB,-1.25128653665929e-001°)
8.57695898590910e+003	(-1.07357029193981e+000dB,-1.24892302299350e-001°)
8.64304286074852e+003	(-1.07370648561956e+000dB,-1.24650023167737e-001°)
8.70963589956096e+003	(-1.07384208402356e+000dB,-1.24401887700729e-001°)
8.77674202536022e+003	(-1.07397707512526e+000dB,-1.24147968560561e-001°)
8.84436519138616e+003	(-1.07411144714734e+000dB,-1.23888339598541e-001°)
8.91250938133762e+003	(-1.07424518856368e+000dB,-1.23623075811034e-001°)
8.98117860960711e+003	(-1.07437828810323e+000dB,-1.23352253294997e-001°)
9.05037692151729e+003	(-1.07451073475212e+000dB,-1.23075949203296e-001°)
9.12010839355927e+003	(-1.07464251775591e+000dB,-1.22794241700101e-001°)
9.19037713363276e+003	(-1.07477362662223e+000dB,-1.22507209915751e-001°)
9.26118728128811e+003	(-1.07490405112258e+000dB,-1.22214933901842e-001°)
9.33254300797009e+003	(-1.07503378129387e+000dB,-1.21917494585951e-001°)
9.40444851726369e+003	(-1.07516280744069e+000dB,-1.21614973726468e-001°)
9.47690804514177e+003	(-1.07529112013582e+000dB,-1.21307453867564e-001°)
9.54992586021454e+003	(-1.07541871022209e+000dB,-1.20995018293888e-001°)
9.62350626398107e+003	(-1.07554556881287e+000dB,-1.20677750985905e-001°)
9.69765359108268e+003	(-1.07567168729356e+000dB,-1.20355736574683e-001°)
9.77237220955829e+003	(-1.07579705732157e+000dB,-1.20029060297483e-001°)
9.84766652110177e+003	(-1.07592167082688e+000dB,-1.19697807953395e-001°)
9.92354096132120e+003	(-1.07604552001239e+000dB,-1.19362065858741e-001°)
1.00000000000002e+004	(-1.07616859735397e+000dB,-1.19021920803756e-001°)
1.00770481413612e+004	(-1.07629089560024e+000dB,-1.18677460008615e-001°)
1.01546899243310e+004	(-1.07641240777216e+000dB,-1.18328771080471e-001°)
1.02329299228077e+004	(-1.07653312716275e+000dB,-1.17975941970717e-001°)
1.03117727459308e+004	(-1.07665304733636e+000dB,-1.17619060932213e-001°)
1.03912230383519e+004	(-1.07677216212774e+000dB,-1.17258216478146e-001°)
1.04712854805092e+004	(-1.07689046564130e+000dB,-1.16893497340030e-001°)
1.05519647889026e+004	(-1.07700795224956e+000dB,-1.16524992427320e-001°)
1.06332657163718e+004	(-1.07712461659201e+000dB,-1.16152790786449e-001°)
1.07151930523763e+004	(-1.07724045357404e+000dB,-1.15776981561997e-001°)
1.07977516232773e+004	(-1.07735545836473e+000dB,-1.15397653956895e-001°)
1.08809462926225e+004	(-1.07746962639544e+000dB,-1.15014897194025e-001°)
1.09647819614321e+004	(-1.07758295335757e+000dB,-1.14628800478697e-001°)
1.10492635684878e+004	(-1.07769543520142e+000dB,-1.14239452961101e-001°)
1.11343960906238e+004	(-1.07780706813288e+000dB,-1.13846943700175e-001°)
1.12201845430199e+004	(-1.07791784861180e+000dB,-1.13451361627314e-001°)
1.13066339794966e+004	(-1.07802777334973e+000dB,-1.13052795512215e-001°)
1.13937494928136e+004	(-1.07813683930698e+000dB,-1.12651333927447e-001°)
1.14815362149691e+004	(-1.07824504369025e+000dB,-1.12247065215877e-001°)
1.15699993175024e+004	(-1.07835238394945e+000dB,-1.11840077457219e-001°)
1.16591440117986e+004	(-1.07845885777580e+000dB,-1.11430458436542e-001°)
1.17489755493955e+004	(-1.07856446309798e+000dB,-1.11018295612752e-001°)
1.18394992222933e+004	(-1.07866919807971e+000dB,-1.10603676088232e-001°)
1.19307203632656e+004	(-1.07877306111613e+000dB,-1.10186686579281e-001°)
1.20226443461744e+004	(-1.07887605083074e+000dB,-1.09767413387766e-001°)
1.21152765862861e+004	(-1.07897816607267e+000dB,-1.09345942372374e-001°)
1.22086225405910e+004	(-1.07907940591259e+000dB,-1.08922358922359e-001°)
1.23026877081241e+004	(-1.07917976963995e+000dB,-1.08496747930487e-001°)
1.23974776302897e+004	(-1.07927925675858e+000dB,-1.08069193768373e-001°)
1.24929978911876e+004	(-1.07937786698425e+000dB,-1.07639780261433e-001°)
1.25892541179419e+004	(-1.07947560024030e+000dB,-1.07208590665136e-001°)
1.26862519810329e+004	(-1.07957245665411e+000dB,-1.06775707642497e-001°)
1.27839971946305e+004	(-1.07966843655377e+000dB,-1.06341213241565e-001°)
1.28824955169316e+004	(-1.07976354046399e+000dB,-1.05905188874575e-001°)
1.29817527504988e+004	(-1.07985776910249e+000dB,-1.05467715297291e-001°)
