Freq.	(V(n004)/I(R5)-50)/(V(n004)/I(R5)+50)
Step Information: X=45  (Run: 1/3)
1.09647819614319e+005	(-3.87635469233050e+001dB,-1.79995441935817e+002°)
1.14815362149689e+005	(-3.87635469355219e+001dB,-1.79995227170917e+002°)
1.20226443461742e+005	(-3.87635469496113e+001dB,-1.79995002289250e+002°)
1.25892541179418e+005	(-3.87635469658411e+001dB,-1.79994766814266e+002°)
1.31825673855642e+005	(-3.87635469845114e+001dB,-1.79994520246927e+002°)
1.38038426460290e+005	(-3.87635470059579e+001dB,-1.79994262064633e+002°)
1.44543977074594e+005	(-3.87635470305547e+001dB,-1.79993991720105e+002°)
1.51356124843622e+005	(-3.87635470587163e+001dB,-1.79993708640207e+002°)
1.58489319246113e+005	(-3.87635470909025e+001dB,-1.79993412224719e+002°)
1.65958690743757e+005	(-3.87635471276190e+001dB,-1.79993101845044e+002°)
1.73780082874939e+005	(-3.87635471694223e+001dB,-1.79992776842863e+002°)
1.81970085861000e+005	(-3.87635472169219e+001dB,-1.79992436528724e+002°)
1.90546071796326e+005	(-3.87635472707849e+001dB,-1.79992080180553e+002°)
1.99526231496890e+005	(-3.87635473317376e+001dB,-1.79991707042118e+002°)
2.08929613085406e+005	(-3.87635474005706e+001dB,-1.79991316321403e+002°)
2.18776162394957e+005	(-3.87635474781435e+001dB,-1.79990907188911e+002°)
2.29086765276779e+005	(-3.87635475653875e+001dB,-1.79990478775890e+002°)
2.39883291901951e+005	(-3.87635476633129e+001dB,-1.79990030172476e+002°)
2.51188643150960e+005	(-3.87635477730137e+001dB,-1.79989560425741e+002°)
2.63026799189541e+005	(-3.87635478956737e+001dB,-1.79989068537659e+002°)
2.75422870333819e+005	(-3.87635480325752e+001dB,-1.79988553462966e+002°)
2.88403150312663e+005	(-3.87635481851061e+001dB,-1.79988014106925e+002°)
3.01995172040204e+005	(-3.87635483547709e+001dB,-1.79987449322974e+002°)
3.16227766016841e+005	(-3.87635485431992e+001dB,-1.79986857910271e+002°)
3.31131121482594e+005	(-3.87635487521591e+001dB,-1.79986238611105e+002°)
3.46736850452535e+005	(-3.87635489835686e+001dB,-1.79985590108198e+002°)
3.63078054770105e+005	(-3.87635492395117e+001dB,-1.79984911021852e+002°)
3.80189396320565e+005	(-3.87635495222517e+001dB,-1.79984199906975e+002°)
3.98107170553501e+005	(-3.87635498342498e+001dB,-1.79983455249943e+002°)
4.16869383470339e+005	(-3.87635501781823e+001dB,-1.79982675465316e+002°)
4.36515832240170e+005	(-3.87635505569603e+001dB,-1.79981858892381e+002°)
4.57088189614879e+005	(-3.87635509737514e+001dB,-1.79981003791525e+002°)
4.78630092322643e+005	(-3.87635514320010e+001dB,-1.79980108340422e+002°)
5.01187233627277e+005	(-3.87635519354569e+001dB,-1.79979170630028e+002°)
5.24807460249778e+005	(-3.87635524881938e+001dB,-1.79978188660365e+002°)
5.49540873857630e+005	(-3.87635530946406e+001dB,-1.79977160336101e+002°)
5.75439937337163e+005	(-3.87635537596066e+001dB,-1.79976083461890e+002°)
6.02559586074364e+005	(-3.87635544883117e+001dB,-1.79974955737472e+002°)
6.30957344480200e+005	(-3.87635552864151e+001dB,-1.79973774752527e+002°)
6.60693448007603e+005	(-3.87635561600466e+001dB,-1.79972537981244e+002°)
6.91830970918944e+005	(-3.87635571158361e+001dB,-1.79971242776621e+002°)
7.24435960074998e+005	(-3.87635581609458e+001dB,-1.79969886364445e+002°)
7.58577575029192e+005	(-3.87635593031002e+001dB,-1.79968465836967e+002°)
7.94328234724290e+005	(-3.87635605506148e+001dB,-1.79966978146228e+002°)
8.31763771102680e+005	(-3.87635619124243e+001dB,-1.79965420097032e+002°)
8.70963589956090e+005	(-3.87635633981068e+001dB,-1.79963788339529e+002°)
9.12010839355920e+005	(-3.87635650179047e+001dB,-1.79962079361416e+002°)
9.54992586021446e+005	(-3.87635667827396e+001dB,-1.79960289479685e+002°)
1.00000000000001e+006	(-3.87635687042207e+001dB,-1.79958414831944e+002°)
1.04712854805091e+006	(-3.87635707946426e+001dB,-1.79956451367260e+002°)
1.09647819614320e+006	(-3.87635730669743e+001dB,-1.79954394836492e+002°)
1.14815362149690e+006	(-3.87635755348301e+001dB,-1.79952240782111e+002°)
1.20226443461743e+006	(-3.87635782124261e+001dB,-1.79949984527466e+002°)
1.25892541179418e+006	(-3.87635811145136e+001dB,-1.79947621165475e+002°)
1.31825673855642e+006	(-3.87635842562869e+001dB,-1.79945145546717e+002°)
1.38038426460290e+006	(-3.87635876532619e+001dB,-1.79942552266901e+002°)
1.44543977074594e+006	(-3.87635913211165e+001dB,-1.79939835653705e+002°)
1.51356124843623e+006	(-3.87635952754920e+001dB,-1.79936989752944e+002°)
1.58489319246113e+006	(-3.87635995317447e+001dB,-1.79934008314077e+002°)
1.65958690743758e+006	(-3.87636041046436e+001dB,-1.79930884775041e+002°)
1.73780082874940e+006	(-3.87636090080056e+001dB,-1.79927612246409e+002°)
1.81970085861001e+006	(-3.87636142542622e+001dB,-1.79924183494882e+002°)
1.90546071796327e+006	(-3.87636198539496e+001dB,-1.79920590926128e+002°)
1.99526231496890e+006	(-3.87636258151169e+001dB,-1.79916826567006e+002°)
2.08929613085406e+006	(-3.87636321426455e+001dB,-1.79912882047193e+002°)
2.18776162394958e+006	(-3.87636388374745e+001dB,-1.79908748580289e+002°)
2.29086765276780e+006	(-3.87636458957318e+001dB,-1.79904416944418e+002°)
2.39883291901952e+006	(-3.87636533077671e+001dB,-1.79899877462434e+002°)
2.51188643150961e+006	(-3.87636610570913e+001dB,-1.79895119981762e+002°)
2.63026799189541e+006	(-3.87636691192275e+001dB,-1.79890133853983e+002°)
2.75422870333820e+006	(-3.87636774604816e+001dB,-1.79884907914210e+002°)
2.88403150312664e+006	(-3.87636860366496e+001dB,-1.79879430460327e+002°)
3.01995172040205e+006	(-3.87636947916748e+001dB,-1.79873689232137e+002°)
3.16227766016842e+006	(-3.87637036562829e+001dB,-1.79867671390445e+002°)
3.31131121482595e+006	(-3.87637125466173e+001dB,-1.79861363496052e+002°)
3.46736850452536e+006	(-3.87637213629034e+001dB,-1.79854751488621e+002°)
3.63078054770106e+006	(-3.87637299881782e+001dB,-1.79847820665292e+002°)
3.80189396320566e+006	(-3.87637382871080e+001dB,-1.79840555658901e+002°)
3.98107170553502e+006	(-3.87637461049300e+001dB,-1.79832940415562e+002°)
4.16869383470341e+006	(-3.87637532665364e+001dB,-1.79824958171332e+002°)
4.36515832240172e+006	(-3.87637595757222e+001dB,-1.79816591427609e+002°)
4.57088189614881e+006	(-3.87637648146006e+001dB,-1.79807821924878e+002°)
4.78630092322645e+006	(-3.87637687431835e+001dB,-1.79798630614362e+002°)
5.01187233627279e+006	(-3.87637710991090e+001dB,-1.79788997627145e+002°)
5.24807460249780e+006	(-3.87637715974852e+001dB,-1.79778902240311e+002°)
5.49540873857632e+006	(-3.87637699308030e+001dB,-1.79768322839697e+002°)
5.75439937337165e+006	(-3.87637657688620e+001dB,-1.79757236878884e+002°)
6.02559586074366e+006	(-3.87637587586403e+001dB,-1.79745620834131e+002°)
6.30957344480202e+006	(-3.87637485240322e+001dB,-1.79733450155042e+002°)
6.60693448007605e+006	(-3.87637346653741e+001dB,-1.79720699210825e+002°)
6.91830970918946e+006	(-3.87637167586789e+001dB,-1.79707341232137e+002°)
7.24435960075000e+006	(-3.87636943545031e+001dB,-1.79693348248549e+002°)
7.58577575029195e+006	(-3.87636669763754e+001dB,-1.79678691021761e+002°)
7.94328234724293e+006	(-3.87636341187296e+001dB,-1.79663338974767e+002°)
8.31763771102683e+006	(-3.87635952442892e+001dB,-1.79647260117150e+002°)
8.70963589956093e+006	(-3.87635497808681e+001dB,-1.79630420966766e+002°)
9.12010839355923e+006	(-3.87634971175605e+001dB,-1.79612786467992e+002°)
9.54992586021450e+006	(-3.87634366003016e+001dB,-1.79594319906733e+002°)
1.00000000000001e+007	(-3.87633675267920e+001dB,-1.79574982822289e+002°)
1.04712854805091e+007	(-3.87632891407816e+001dB,-1.79554734916142e+002°)
1.09647819614320e+007	(-3.87632006257126e+001dB,-1.79533533957648e+002°)
1.14815362149690e+007	(-3.87631010977242e+001dB,-1.79511335686511e+002°)
