Freq.	(V(n005)/I(R5)-50)/(V(n005)/I(R5)+50)
3.63078054770105e+005	(-9.85585667353558e+001dB,-1.53362775986544e+001°)
3.80189396320565e+005	(-9.85293277775896e+001dB,-1.60226680274763e+001°)
3.98107170553501e+005	(-9.84974894437703e+001dB,-1.67363931576280e+001°)
4.16869383470339e+005	(-9.84628423393428e+001dB,-1.74780826910727e+001°)
4.36515832240170e+005	(-9.84251641067089e+001dB,-1.82483176426548e+001°)
4.57088189614879e+005	(-9.83842193215083e+001dB,-1.90476206268973e+001°)
4.78630092322643e+005	(-9.83397595350210e+001dB,-1.98764454192271e+001°)
5.01187233627277e+005	(-9.82915234810687e+001dB,-2.07351658438856e+001°)
5.24807460249778e+005	(-9.82392374743383e+001dB,-2.16240640916050e+001°)
5.49540873857630e+005	(-9.81826160313854e+001dB,-2.25433185755172e+001°)
5.75439937337163e+005	(-9.81213627338949e+001dB,-2.34929914975035e+001°)
6.02559586074364e+005	(-9.80551713607451e+001dB,-2.44730163456909e+001°)
6.30957344480200e+005	(-9.79837273101564e+001dB,-2.54831855299273e+001°)
6.60693448007603e+005	(-9.79067093238751e+001dB,-2.65231384937674e+001°)
6.91830970918944e+005	(-9.78237915287416e+001dB,-2.75923505915418e+001°)
7.24435960074998e+005	(-9.77346457890994e+001dB,-2.86901231183940e+001°)
7.58577575029192e+005	(-9.76389443696562e+001dB,-2.98155748717421e+001°)
7.94328234724290e+005	(-9.75363628822951e+001dB,-3.09676356477567e+001°)
8.31763771102680e+005	(-9.74265834876456e+001dB,-3.21450420772286e+001°)
8.70963589956090e+005	(-9.73092983043142e+001dB,-3.33463361830759e+001°)
9.12010839355920e+005	(-9.71842129689551e+001dB,-3.45698669939204e+001°)
9.54992586021446e+005	(-9.70510502716087e+001dB,-3.58137955109257e+001°)
1.00000000000001e+006	(-9.69095537879509e+001dB,-3.70761032108362e+001°)
1.04712854805091e+006	(-9.67594914141487e+001dB,-3.83546041855451e+001°)
1.09647819614320e+006	(-9.66006587087043e+001dB,-3.96469609008619e+001°)
1.14815362149690e+006	(-9.64328819434076e+001dB,-4.09507034099129e+001°)
1.20226443461743e+006	(-9.62560207693797e+001dB,-4.22632517434553e+001°)
1.25892541179418e+006	(-9.60699704109926e+001dB,-4.35819410417731e+001°)
1.31825673855642e+006	(-9.58746633147292e+001dB,-4.49040489073994e+001°)
1.38038426460290e+006	(-9.56700701971732e+001dB,-4.62268243240251e+001°)
1.44543977074594e+006	(-9.54562004556380e+001dB,-4.75475174364322e+001°)
1.51356124843623e+006	(-9.52331019279411e+001dB,-4.88634094404495e+001°)
1.58489319246113e+006	(-9.50008600121558e+001dB,-5.01718418218495e+001°)
1.65958690743758e+006	(-9.47595961788358e+001dB,-5.14702442243396e+001°)
1.73780082874940e+006	(-9.45094659304957e+001dB,-5.27561602726609e+001°)
1.81970085861001e+006	(-9.42506562795406e+001dB,-5.40272707950510e+001°)
1.90546071796327e+006	(-9.39833828296900e+001dB,-5.52814139700040e+001°)
1.99526231496890e+006	(-9.37078865573187e+001dB,-5.65166020802709e+001°)
2.08929613085406e+006	(-9.34244303887748e+001dB,-5.77310346678082e+001°)
2.18776162394958e+006	(-9.31332956745854e+001dB,-5.89231080234603e+001°)
2.29086765276780e+006	(-9.28347786506849e+001dB,-6.00914210583064e+001°)
2.39883291901952e+006	(-9.25291869742341e+001dB,-6.12347777204001e+001°)
2.51188643150961e+006	(-9.22168364049871e+001dB,-6.23521861895886e+001°)
2.63026799189541e+006	(-9.18980476939784e+001dB,-6.34428551615075e+001°)
2.75422870333820e+006	(-9.15731437251234e+001dB,-6.45061875791965e+001°)
2.88403150312664e+006	(-9.12424469413707e+001dB,-6.55417721773540e+001°)
3.01995172040205e+006	(-9.09062770742730e+001dB,-6.65493732366466e+001°)
3.16227766016842e+006	(-9.05649491821541e+001dB,-6.75289189208978e+001°)
3.31131121482595e+006	(-9.02187719921750e+001dB,-6.84804885634389e+001°)
3.46736850452536e+006	(-8.98680465315771e+001dB,-6.94042992390026e+001°)
3.63078054770106e+006	(-8.95130650270582e+001dB,-7.03006919334210e+001°)
3.80189396320566e+006	(-8.91541100453430e+001dB,-7.11701175872843e+001°)
3.98107170553502e+006	(-8.87914538457865e+001dB,-7.20131232657989e+001°)
4.16869383470341e+006	(-8.84253579138014e+001dB,-7.28303386650106e+001°)
4.36515832240172e+006	(-8.80560726448820e+001dB,-7.36224631535466e+001°)
4.57088189614881e+006	(-8.76838371503669e+001dB,-7.43902535005897e+001°)
4.78630092322645e+006	(-8.73088791594964e+001dB,-7.51345124338638e+001°)
5.01187233627279e+006	(-8.69314149956672e+001dB,-7.58560781322531e+001°)
5.24807460249780e+006	(-8.65516496094489e+001dB,-7.65558147410038e+001°)
5.49540873857632e+006	(-8.61697766548989e+001dB,-7.72346039655254e+001°)
5.75439937337165e+006	(-8.57859786004089e+001dB,-7.78933377783101e+001°)
6.02559586074366e+006	(-8.54004268687768e+001dB,-7.85329122460554e+001°)
6.30957344480202e+006	(-8.50132820044013e+001dB,-7.91542224566215e+001°)
6.60693448007605e+006	(-8.46246938678902e+001dB,-7.97581585040596e+001°)
6.91830970918946e+006	(-8.42348018597910e+001dB,-8.03456024648358e+001°)
7.24435960075000e+006	(-8.38437351755230e+001dB,-8.09174262837620e+001°)
7.58577575029195e+006	(-8.34516130935617e+001dB,-8.14744904650847e+001°)
7.94328234724293e+006	(-8.30585452982104e+001dB,-8.20176434677080e+001°)
8.31763771102683e+006	(-8.26646322365348e+001dB,-8.25477216823025e+001°)
8.70963589956093e+006	(-8.22699655081135e+001dB,-8.30655498826302e+001°)
9.12010839355923e+006	(-8.18746282843000e+001dB,-8.35719420369106e+001°)
9.54992586021450e+006	(-8.14786957524589e+001dB,-8.40677023820807e+001°)
