time	V(bf_source)
1.133107199629303e-002	-7.195971760136534e-003
1.143107199629303e-002	-7.192349788735615e-003
1.153107199629303e-002	-7.188727817226537e-003
1.163107199629303e-002	-7.185105845844645e-003
1.173107199629303e-002	-7.181483874439639e-003
1.183107199629303e-002	-7.177861902920859e-003
1.193107199629303e-002	-7.174239931578571e-003
1.203107199629303e-002	-7.170617960408804e-003
1.213107199629303e-002	-7.166995989077172e-003
1.223107199629303e-002	-7.163374017565026e-003
1.233107199629303e-002	-7.159752046209679e-003
1.243107199629303e-002	-7.156130074943564e-003
1.253107199629303e-002	-7.152508103530209e-003
1.263107199629303e-002	-7.148886132295152e-003
1.273107199629303e-002	-7.145264161205867e-003
1.283107199629303e-002	-7.141642189734341e-003
1.293107199629303e-002	-7.138020218138420e-003
1.303107199629303e-002	-7.134398246826228e-003
1.313107199629303e-002	-7.130776275438816e-003
1.323107199629303e-002	-7.127154304078773e-003
1.333107199629303e-002	-7.123532332946922e-003
1.343107199629303e-002	-7.119910361618602e-003
1.353107199629303e-002	-7.116288390294808e-003
1.363107199629303e-002	-7.112666419080224e-003
1.373107199629303e-002	-7.109044447520803e-003
1.383107199629303e-002	-7.105422475994275e-003
1.393107199629303e-002	-7.101800504822201e-003
1.403107199629303e-002	-7.098178533452453e-003
1.413107199629303e-002	-7.094556561951904e-003
1.423107199629303e-002	-7.090934590852331e-003
1.433107199629303e-002	-7.087312619796422e-003
1.443107199629303e-002	-7.083690648449924e-003
1.453107199629303e-002	-7.080068677340311e-003
1.463107199629303e-002	-7.076446706384666e-003
1.473107199629303e-002	-7.072824735006254e-003
1.483107199629303e-002	-7.069202763475968e-003
1.493107199629303e-002	-7.065580792137590e-003
1.503107199629303e-002	-7.061958820882036e-003
1.513107199629303e-002	-7.058336849612734e-003
1.523107199629303e-002	-7.054714878271821e-003
1.533107199629303e-002	-7.051092906928571e-003
1.543107199629303e-002	-7.047470935844426e-003
1.553107199629303e-002	-7.043848964779147e-003
1.563107199629303e-002	-7.040226993422594e-003
1.573107199629303e-002	-7.036605022164295e-003
1.583107199629303e-002	-7.032983051027805e-003
1.593107199629303e-002	-7.029361079844439e-003
1.603107199629303e-002	-7.025739108753602e-003
1.613107199629303e-002	-7.022117137440390e-003
1.623107199629303e-002	-7.018495165956345e-003
1.633107199629303e-002	-7.014873194830206e-003
1.643107199629303e-002	-7.011251223838310e-003
1.653107199629303e-002	-7.007629252691451e-003
1.663107199629303e-002	-7.004007281489011e-003
1.673107199629303e-002	-7.000385310314754e-003
1.683107199629303e-002	-6.996763339151811e-003
1.693107199629303e-002	-6.993141367853388e-003
1.703107199629303e-002	-6.989519396458381e-003
1.713107199629303e-002	-6.985897425146687e-003
1.723107199629303e-002	-6.982275454060941e-003
1.733107199629303e-002	-6.978653482998162e-003
1.743107199629303e-002	-6.975031511768988e-003
1.753107199629303e-002	-6.971409540614044e-003
1.763107199629303e-002	-6.967787569456486e-003
1.773107199629303e-002	-6.964165598155277e-003
1.783107199629303e-002	-6.960543626942322e-003
1.793107199629303e-002	-6.956921655818630e-003
1.803107199629303e-002	-6.953299684752140e-003
1.813107199629303e-002	-6.949677713836671e-003
1.823107199629303e-002	-6.946055742791826e-003
1.833107199629303e-002	-6.942433771422745e-003
1.843107199629303e-002	-6.938811800037587e-003
1.853107199629303e-002	-6.935189828962001e-003
1.863107199629303e-002	-6.931567858074772e-003
1.873107199629303e-002	-6.927945887126534e-003
1.883107199629303e-002	-6.924323916023168e-003
1.893107199629303e-002	-6.920701944794065e-003
1.903107199629303e-002	-6.917079973595329e-003
1.913107199629303e-002	-6.913458002396875e-003
1.923107199629303e-002	-6.909836031220732e-003
1.933107199629303e-002	-6.906214060086065e-003
1.943107199629303e-002	-6.902592088932292e-003
1.953107199629303e-002	-6.898970117949121e-003
1.963107199629303e-002	-6.895348147158212e-003
1.973107199629303e-002	-6.891726176214181e-003
1.983107199629303e-002	-6.888104205126032e-003
1.993107199629303e-002	-6.884482234091540e-003
2.003107199629303e-002	-6.880860262998120e-003
2.013107199629303e-002	-6.877238292063785e-003
2.023107199629303e-002	-6.873616321133206e-003
2.033107199629303e-002	-6.869994349791779e-003
2.043107199629303e-002	-6.866372378523432e-003
2.053107199629303e-002	-6.862750407514415e-003
2.063107199629303e-002	-6.859128436470054e-003
2.073107199629303e-002	-6.855506465370496e-003
2.083107199629303e-002	-6.851884494221269e-003
2.093107199629303e-002	-6.848262523166965e-003
2.103107199629303e-002	-6.844640552312977e-003
2.113107199629303e-002	-6.841018581488577e-003
2.123107199629303e-002	-6.837396610381241e-003
2.133107199629303e-002	-6.833774639217975e-003
2.143107199629303e-002	-6.830152668336449e-003
2.153107199629303e-002	-6.826530697166456e-003
2.163107199629303e-002	-6.822908725773568e-003
2.173107199629303e-002	-6.819286754971067e-003
2.183107199629303e-002	-6.815664784474008e-003
2.193107199629303e-002	-6.812042813669007e-003
2.203107199629303e-002	-6.808420842780518e-003
2.213107199629303e-002	-6.804798871926769e-003
2.223107199629303e-002	-6.801176900808721e-003
2.233107199629303e-002	-6.797554929624310e-003
2.243107199629303e-002	-6.793932958588562e-003
2.253107199629303e-002	-6.790310987468259e-003
2.263107199629303e-002	-6.786689016485010e-003
2.273107199629303e-002	-6.783067045844690e-003
2.283107199629303e-002	-6.779445075130529e-003
2.293107199629303e-002	-6.775823104188960e-003
2.303107199629303e-002	-6.772201133168470e-003
2.313107199629303e-002	-6.768579162094900e-003
2.323107199629303e-002	-6.764957190972513e-003
2.333107199629303e-002	-6.761335219839559e-003
2.343107199629303e-002	-6.757713248890141e-003
2.353107199629303e-002	-6.754091278174623e-003
2.363107199629303e-002	-6.750469307493774e-003
2.373107199629303e-002	-6.746847336734767e-003
2.383107199629303e-002	-6.743225365799879e-003
2.393107199629303e-002	-6.739603394801657e-003
2.403107199629303e-002	-6.735981423860917e-003
2.413107199629303e-002	-6.732359452915599e-003
2.423107199629303e-002	-6.728737482009327e-003
2.433107199629303e-002	-6.725115511075110e-003
2.443107199629303e-002	-6.721493540093549e-003
2.453107199629303e-002	-6.717871569129888e-003
2.463107199629303e-002	-6.714249598115136e-003
2.473107199629303e-002	-6.710627627022944e-003
2.483107199629303e-002	-6.707005656095508e-003
2.493107199629303e-002	-6.703383685497416e-003
2.503107199629303e-002	-6.699761714813859e-003
2.513107199629303e-002	-6.696139743915332e-003
2.523107199629303e-002	-6.692517773138043e-003
2.533107199629303e-002	-6.688895802496963e-003
2.543107199629303e-002	-6.685273831724064e-003
2.553107199629303e-002	-6.681651860682347e-003
2.563107199629303e-002	-6.678029889648516e-003
2.573107199629303e-002	-6.674407918741558e-003
2.583107199629303e-002	-6.670785947914083e-003
2.593107199629303e-002	-6.667163977137794e-003
2.603107199629303e-002	-6.663542006325308e-003
2.613107199629303e-002	-6.659920035646373e-003
2.623107199629303e-002	-6.656298064881382e-003
2.633107199629303e-002	-6.652676093828943e-003
2.643107199629303e-002	-6.649054122836476e-003
2.653107199629303e-002	-6.645432152058754e-003
2.663107199629303e-002	-6.641810181373664e-003
2.673107199629303e-002	-6.638188210584475e-003
2.683107199629303e-002	-6.634566239720557e-003
2.693107199629303e-002	-6.630944268822710e-003
2.703107199629303e-002	-6.627322298137396e-003
2.713107199629303e-002	-6.623700327728943e-003
2.723107199629303e-002	-6.620078357012121e-003
2.733107199629303e-002	-6.616456386075748e-003
2.743107199629303e-002	-6.612834415196583e-003
2.753107199629303e-002	-6.609212444190489e-003
2.763107199629303e-002	-6.605590473202461e-003
2.773107199629303e-002	-6.601968502516958e-003
2.783107199629303e-002	-6.598346532069547e-003
2.793107199629303e-002	-6.594724561458266e-003
2.803107199629303e-002	-6.591102590662283e-003
2.813107199629303e-002	-6.587480619983194e-003
2.823107199629303e-002	-6.583858649183729e-003
2.833107199629303e-002	-6.580236678115535e-003
2.843107199629303e-002	-6.576614707222439e-003
2.853107199629303e-002	-6.572992736640854e-003
2.863107199629303e-002	-6.569370765940071e-003
2.873107199629303e-002	-6.565748794992219e-003
2.883107199629303e-002	-6.562126824356192e-003
2.893107199629303e-002	-6.558504854002566e-003
2.903107199629303e-002	-6.554882883347638e-003
2.913107199629303e-002	-6.551260912591606e-003
2.923107199629303e-002	-6.547638941929193e-003
2.933107199629303e-002	-6.544016971197636e-003
2.943107199629303e-002	-6.540395000361828e-003
2.953107199629303e-002	-6.536773029524000e-003
2.963107199629303e-002	-6.533151058938171e-003
2.973107199629303e-002	-6.529529088423886e-003
2.983107199629303e-002	-6.525907117709984e-003
2.993107199629303e-002	-6.522285147008898e-003
3.003107199629303e-002	-6.518663176381812e-003
3.013107199629303e-002	-6.515041205751723e-003
3.023107199629303e-002	-6.511419234997997e-003
3.033107199629303e-002	-6.507797264069550e-003
3.043107199629303e-002	-6.504175293391316e-003
3.053107199629303e-002	-6.500553323014927e-003
3.063107199629303e-002	-6.496931352528441e-003
3.073107199629303e-002	-6.493309381851378e-003
3.083107199629303e-002	-6.489687411116451e-003
3.093107199629303e-002	-6.486065440439427e-003
3.103107199629303e-002	-6.482443469859371e-003
3.113107199629303e-002	-6.478821499233340e-003
3.123107199629303e-002	-6.475199528544636e-003
3.133107199629303e-002	-6.471577557903261e-003
3.143107199629303e-002	-6.467955587146771e-003
3.153107199629303e-002	-6.464333616441122e-003
3.163107199629303e-002	-6.460711646003866e-003
3.173107199629303e-002	-6.457089675423117e-003
3.183107199629303e-002	-6.453467704685440e-003
3.193107199629303e-002	-6.449845734085560e-003
3.203107199629303e-002	-6.446223763510486e-003
3.213107199629303e-002	-6.442601792966818e-003
3.223107199629303e-002	-6.438979822427676e-003
3.233107199629303e-002	-6.435357851711026e-003
3.243107199629303e-002	-6.431735881125845e-003
3.253107199629303e-002	-6.428113910807023e-003
3.263107199629303e-002	-6.424491940345591e-003
3.273107199629303e-002	-6.420869969686662e-003
3.283107199629303e-002	-6.417247998997525e-003
3.293107199629303e-002	-6.413626028352752e-003
3.303107199629303e-002	-6.410004057745766e-003
3.313107199629303e-002	-6.406382087285394e-003
3.323107199629303e-002	-6.402760116966048e-003
3.333107199629303e-002	-6.399138146340495e-003
3.343107199629303e-002	-6.395516175528378e-003
3.353107199629303e-002	-6.391894205022152e-003
3.363107199629303e-002	-6.388272234578156e-003
3.373107199629303e-002	-6.384650264018125e-003
3.383107199629303e-002	-6.381028293495574e-003
3.393107199629303e-002	-6.377406322893795e-003
3.403107199629303e-002	-6.373784352312935e-003
3.413107199629303e-002	-6.370162381688481e-003
3.423107199629303e-002	-6.366540411031720e-003
3.433107199629303e-002	-6.362918440683540e-003
3.443107199629303e-002	-6.359296470263107e-003
3.453107199629303e-002	-6.355674499732679e-003
3.463107199629303e-002	-6.352052529448753e-003
3.473107199629303e-002	-6.348430559015535e-003
3.483107199629303e-002	-6.344808588388554e-003
3.493107199629303e-002	-6.341186617869492e-003
3.503107199629303e-002	-6.337564647300112e-003
3.513107199629303e-002	-6.333942676705438e-003
3.523107199629303e-002	-6.330320706350619e-003
3.533107199629303e-002	-6.326698735986840e-003
3.543107199629303e-002	-6.323076765332421e-003
3.553107199629303e-002	-6.319454794893936e-003
3.563107199629303e-002	-6.315832824650355e-003
3.573107199629303e-002	-6.312210853995796e-003
3.583107199629303e-002	-6.308588883364334e-003
3.593107199629303e-002	-6.304966913028357e-003
3.603107199629303e-002	-6.301344942498147e-003
3.613107199629303e-002	-6.297722971957905e-003
3.623107199629303e-002	-6.294101001720483e-003
3.633107199629303e-002	-6.290479031297165e-003
3.643107199629303e-002	-6.286857060661961e-003
3.653107199629303e-002	-6.283235090247850e-003
3.663107199629303e-002	-6.279613119768731e-003
3.673107199629303e-002	-6.275991149284023e-003
3.683107199629303e-002	-6.272369179008594e-003
3.693107199629303e-002	-6.268747208684976e-003
3.703107199629303e-002	-6.265125238346881e-003
3.713107199629303e-002	-6.261503267948412e-003
3.723107199629303e-002	-6.257881297581687e-003
3.733107199629303e-002	-6.254259327526026e-003
3.743107199629303e-002	-6.250637357361382e-003
3.753107199629303e-002	-6.247015386625046e-003
3.763107199629303e-002	-6.243393415832924e-003
3.773107199629303e-002	-6.239771445435493e-003
3.783107199629303e-002	-6.236149475060390e-003
3.793107199629303e-002	-6.232527504580961e-003
3.803107199629303e-002	-6.228905534214084e-003
3.813107199629303e-002	-6.225283564066516e-003
3.823107199629303e-002	-6.221661593990558e-003
3.833107199629303e-002	-6.218039623683693e-003
3.843107199629303e-002	-6.214417653237088e-003
3.853107199629303e-002	-6.210795682892746e-003
3.863107199629303e-002	-6.207173712657246e-003
3.873107199629303e-002	-6.203551742256912e-003
3.883107199629303e-002	-6.199929771675150e-003
3.893107199629303e-002	-6.196307801370398e-003
3.903107199629303e-002	-6.192685831197640e-003
3.913107199629303e-002	-6.189063860749185e-003
3.923107199629303e-002	-6.185441890282752e-003
3.933107199629303e-002	-6.181819919938163e-003
3.943107199629303e-002	-6.178197949551090e-003
3.953107199629303e-002	-6.174575979291879e-003
3.963107199629303e-002	-6.170954009165817e-003
3.973107199629303e-002	-6.167332038973285e-003
3.983107199629303e-002	-6.163710068791736e-003
3.993107199629303e-002	-6.160088098475929e-003
4.003107199629303e-002	-6.156466128009066e-003
4.013107199629303e-002	-6.152844157780541e-003
4.023107199629303e-002	-6.149222187612709e-003
4.033107199629303e-002	-6.145600217347254e-003
4.043107199629303e-002	-6.141978247185651e-003
4.053107199629303e-002	-6.138356276804071e-003
4.063107199629303e-002	-6.134734306276231e-003
4.073107199629303e-002	-6.131112336100593e-003
4.083107199629303e-002	-6.127490365963888e-003
4.093107199629303e-002	-6.123868395712852e-003
4.103107199629303e-002	-6.120246425490840e-003
4.113107199629303e-002	-6.116624455128318e-003
4.123107199629303e-002	-6.113002484827281e-003
4.133107199629303e-002	-6.109380514485624e-003
4.143107199629303e-002	-6.105758544034961e-003
4.153107199629303e-002	-6.102136573952029e-003
4.163107199629303e-002	-6.098514603953710e-003
4.173107199629303e-002	-6.094892633722415e-003
4.183107199629303e-002	-6.091270663608142e-003
4.193107199629303e-002	-6.087648693518527e-003
4.203107199629303e-002	-6.084026723139235e-003
4.213107199629303e-002	-6.080404752812748e-003
4.223107199629303e-002	-6.076782782720181e-003
