Freq.	V(bf_source)
2.39883291901951e+003	(-2.32873166413915e+001dB,-8.43152968366985e-002°)
2.41731548080412e+003	(-2.32873803388446e+001dB,-8.48074032134540e-002°)
2.43594044729205e+003	(-2.32874447773730e+001dB,-8.53002410516634e-002°)
2.45470891568505e+003	(-2.32875099622625e+001dB,-8.57937649174364e-002°)
2.47362199163864e+003	(-2.32875758987432e+001dB,-8.62879284575677e-002°)
2.49268078932720e+003	(-2.32876425919887e+001dB,-8.67826843961947e-002°)
2.51188643150960e+003	(-2.32877100471105e+001dB,-8.72779845312374e-002°)
2.53124004959538e+003	(-2.32877782691565e+001dB,-8.77737797314579e-002°)
2.55074278371138e+003	(-2.32878472631077e+001dB,-8.82700199343713e-002°)
2.57039578276888e+003	(-2.32879170338735e+001dB,-8.87666541440124e-002°)
2.59020020453134e+003	(-2.32879875862906e+001dB,-8.92636304292906e-002°)
2.61015721568256e+003	(-2.32880589251181e+001dB,-8.97608959231011e-002°)
2.63026799189540e+003	(-2.32881310550339e+001dB,-9.02583968214158e-002°)
2.65053371790110e+003	(-2.32882039806328e+001dB,-9.07560783834617e-002°)
2.67095558755901e+003	(-2.32882777064203e+001dB,-9.12538849319644e-002°)
2.69153480392694e+003	(-2.32883522368133e+001dB,-9.17517598538057e-002°)
2.71227257933205e+003	(-2.32884275761317e+001dB,-9.22496456019394e-002°)
2.73317013544226e+003	(-2.32885037285980e+001dB,-9.27474836968800e-002°)
2.75422870333819e+003	(-2.32885806983332e+001dB,-9.32452147296134e-002°)
2.77544952358573e+003	(-2.32886584893512e+001dB,-9.37427783646296e-002°)
2.79683384630910e+003	(-2.32887371055584e+001dB,-9.42401133434473e-002°)
2.81838293126448e+003	(-2.32888165507462e+001dB,-9.47371574893528e-002°)
2.84009804791424e+003	(-2.32888968285897e+001dB,-9.52338477120572e-002°)
2.86198047550173e+003	(-2.32889779426440e+001dB,-9.57301200132552e-002°)
2.88403150312663e+003	(-2.32890598963384e+001dB,-9.62259094932697e-002°)
2.90625242982089e+003	(-2.32891426929750e+001dB,-9.67211503574094e-002°)
2.92864456462526e+003	(-2.32892263357217e+001dB,-9.72157759241811e-002°)
2.95120922666641e+003	(-2.32893108276118e+001dB,-9.77097186331173e-002°)
2.97394774523463e+003	(-2.32893961715377e+001dB,-9.82029100540152e-002°)
2.99686145986215e+003	(-2.32894823702479e+001dB,-9.86952808964491e-002°)
3.01995172040204e+003	(-2.32895694263428e+001dB,-9.91867610205601e-002°)
3.04321988710775e+003	(-2.32896573422699e+001dB,-9.96772794479821e-002°)
3.06666733071321e+003	(-2.32897461203221e+001dB,-1.00166764373743e-001°)
3.09029543251362e+003	(-2.32898357626318e+001dB,-1.00655143179169e-001°)
3.11410558444679e+003	(-2.32899262711672e+001dB,-1.01142342445306e-001°)
3.13809918917516e+003	(-2.32900176477289e+001dB,-1.01628287967126e-001°)
3.16227766016841e+003	(-2.32901098939460e+001dB,-1.02112904768606e-001°)
3.18664242178676e+003	(-2.32902030112716e+001dB,-1.02596117118503e-001°)
3.21119490936485e+003	(-2.32902970009791e+001dB,-1.03077848547243e-001°)
