Type:          raw
Points:        1350
Count:         1
XInc:          3.70370E-013
XOrg:          6.1183500000E-008
YData range:   5.74400E-001
YData center:  -9.00000E-002
Coupling:      50 Ohms
XRange:        5.00000E-010
XOffset:       6.1183500000E-008
YRange:        5.70400E-001
YOffset:       -9.00000E-002
Date:          18 NOV 2019
Time:          10:07:33:53
Frame:         86100C:MY45030871
X Units:       second
Y Units:       Volt
XY Data:
6.1266833E-008, -1.273E-003
6.1267204E-008, -6.03E-004
6.1267574E-008, -9.47E-004
6.1267944E-008, -2.77E-004
6.1268315E-008, -9.47E-004
6.1268685E-008, -1.110E-003
6.1269056E-008, -1.273E-003
6.1269426E-008, -1.110E-003
6.1269796E-008, -1.110E-003
6.1270167E-008, -7.84E-004
6.1270537E-008, -1.273E-003
6.1270907E-008, -7.84E-004
6.1271278E-008, -7.84E-004
6.1271648E-008, -7.84E-004
6.1272019E-008, -7.84E-004
6.1272389E-008, -9.47E-004
6.1272759E-008, -7.84E-004
6.1273130E-008, -1.436E-003
6.1273500E-008, -1.436E-003
6.1273870E-008, -1.110E-003
6.1274241E-008, -4.40E-004
6.1274611E-008, -9.47E-004
6.1274981E-008, -1.110E-003
6.1275352E-008, -9.47E-004
6.1275722E-008, -1.273E-003
6.1276093E-008, -7.84E-004
6.1276463E-008, -6.03E-004
6.1276833E-008, -9.47E-004
6.1277204E-008, -9.47E-004
6.1277574E-008, -7.84E-004
6.1277944E-008, -7.84E-004
6.1278315E-008, -9.47E-004
6.1278685E-008, -6.03E-004
6.1279056E-008, -1.110E-003
6.1279426E-008, -9.47E-004
6.1279796E-008, -7.84E-004
6.1280167E-008, -9.47E-004
6.1280537E-008, -7.84E-004
6.1280907E-008, -1.436E-003
6.1281278E-008, -9.47E-004
6.1281648E-008, -1.110E-003
6.1282019E-008, -6.03E-004
6.1282389E-008, -9.47E-004
6.1282759E-008, -9.47E-004
6.1283130E-008, -9.47E-004
6.1283500E-008, -7.84E-004
6.1283870E-008, -1.110E-003
6.1284241E-008, -1.110E-003
6.1284611E-008, -7.84E-004
6.1284981E-008, -1.110E-003
6.1285352E-008, -4.40E-004
6.1285722E-008, -6.03E-004
6.1286093E-008, -9.47E-004
6.1286463E-008, -7.84E-004
6.1286833E-008, -7.84E-004
6.1287204E-008, -9.47E-004
6.1287574E-008, -7.84E-004
6.1287944E-008, -7.84E-004
6.1288315E-008, -9.47E-004
6.1288685E-008, -6.03E-004
6.1289056E-008, -9.47E-004
6.1289426E-008, -9.47E-004
6.1289796E-008, -9.47E-004
6.1290167E-008, -6.03E-004
6.1290537E-008, -9.47E-004
6.1290907E-008, -6.03E-004
6.1291278E-008, -1.273E-003
6.1291648E-008, -9.47E-004
6.1292019E-008, -2.77E-004
6.1292389E-008, -6.03E-004
6.1292759E-008, -9.47E-004
6.1293130E-008, -7.84E-004
6.1293500E-008, -6.03E-004
6.1293870E-008, -1.110E-003
6.1294241E-008, -9.47E-004
6.1294611E-008, -1.110E-003
6.1294981E-008, -7.84E-004
6.1295352E-008, -4.40E-004
6.1295722E-008, -1.273E-003
6.1296093E-008, -9.47E-004
6.1296463E-008, -7.84E-004
6.1296833E-008, -9.47E-004
6.1297204E-008, -1.436E-003
6.1297574E-008, -7.84E-004
6.1297944E-008, -1.110E-003
6.1298315E-008, -4.40E-004
6.1298685E-008, -6.03E-004
6.1299056E-008, -7.84E-004
6.1299426E-008, -7.84E-004
6.1299796E-008, -9.47E-004
6.1300167E-008, -9.47E-004
6.1300537E-008, -7.84E-004
6.1300907E-008, -2.77E-004
6.1301278E-008, -6.03E-004
6.1301648E-008, -1.273E-003
6.1302019E-008, -9.47E-004
6.1302389E-008, -4.40E-004
6.1302759E-008, -9.47E-004
6.1303130E-008, -9.47E-004
6.1303500E-008, -6.03E-004
6.1303870E-008, -7.84E-004
6.1304241E-008, -7.84E-004
6.1304611E-008, -7.84E-004
6.1304981E-008, -2.77E-004
6.1305352E-008, -7.84E-004
6.1305722E-008, -7.84E-004
6.1306093E-008, -6.03E-004
6.1306463E-008, -9.47E-004
6.1306833E-008, -6.03E-004
6.1307204E-008, -7.84E-004
6.1307574E-008, -7.84E-004
6.1307944E-008, -6.03E-004
6.1308315E-008, -4.40E-004
6.1308685E-008, -7.84E-004
6.1309056E-008, -7.84E-004
6.1309426E-008, -4.40E-004
6.1309796E-008, -4.40E-004
6.1310167E-008, -6.03E-004
6.1310537E-008, -7.84E-004
6.1310907E-008, -9.47E-004
6.1311278E-008, -6.03E-004
6.1311648E-008, -1.14E-004
6.1312019E-008, -7.84E-004
6.1312389E-008, -6.03E-004
6.1312759E-008, -6.03E-004
6.1313130E-008, -2.77E-004
6.1313500E-008, -6.03E-004
6.1313870E-008, -6.03E-004
6.1314241E-008, -9.47E-004
6.1314611E-008, -7.84E-004
6.1314981E-008, -2.77E-004
6.1315352E-008, -2.77E-004
6.1315722E-008, -6.03E-004
6.1316093E-008, -6.03E-004
6.1316463E-008, -9.47E-004
6.1316833E-008, -9.47E-004
6.1317204E-008, -2.77E-004
6.1317574E-008, -4.40E-004
6.1317944E-008, -4.40E-004
6.1318315E-008, -7.84E-004
6.1318685E-008, -7.84E-004
6.1319056E-008, -4.40E-004
6.1319426E-008, -2.77E-004
6.1319796E-008, -6.03E-004
6.1320167E-008, -6.03E-004
6.1320537E-008, -6.03E-004
6.1320907E-008, -6.03E-004
6.1321278E-008, -2.77E-004
6.1321648E-008, -4.40E-004
6.1322019E-008, -6.03E-004
6.1322389E-008, -4.40E-004
6.1322759E-008, -7.84E-004
6.1323130E-008, -4.40E-004
6.1323500E-008, -6.03E-004
6.1323870E-008, -4.40E-004
6.1324241E-008, -4.40E-004
6.1324611E-008, -4.40E-004
6.1324981E-008, -2.77E-004
6.1325352E-008, -2.77E-004
6.1325722E-008, -1.14E-004
6.1326093E-008, -6.03E-004
6.1326463E-008, -4.40E-004
6.1326833E-008, -2.77E-004
6.1327204E-008, -6.03E-004
6.1327574E-008, -4.40E-004
6.1327944E-008, -6.03E-004
6.1328315E-008, -4.40E-004
6.1328685E-008, -2.77E-004
6.1329056E-008, -7.84E-004
6.1329426E-008, -4.40E-004
6.1329796E-008, -6.03E-004
6.1330167E-008, -6.03E-004
6.1330537E-008, -6.03E-004
6.1330907E-008, -1.14E-004
6.1331278E-008, -2.77E-004
6.1331648E-008, -4.40E-004
6.1332019E-008, -6.03E-004
6.1332389E-008, -1.14E-004
6.1332759E-008, -2.77E-004
6.1333130E-008, -6.03E-004
6.1333500E-008, -6.03E-004
6.1333870E-008, -4.40E-004
6.1334241E-008, -2.77E-004
6.1334611E-008, -2.77E-004
6.1334981E-008, -7.84E-004
6.1335352E-008, -4.40E-004
6.1335722E-008, -4.40E-004
6.1336093E-008, -6.03E-004
6.1336463E-008, -9.47E-004
6.1336833E-008, -2.77E-004
6.1337204E-008, -6.03E-004
6.1337574E-008, -2.77E-004
6.1337944E-008, -9.47E-004
6.1338315E-008, -7.84E-004
6.1338685E-008, -9.47E-004
6.1339056E-008, -6.03E-004
6.1339426E-008, -6.03E-004
6.1339796E-008, -6.03E-004
6.1340167E-008, -7.84E-004
6.1340537E-008, -2.77E-004
6.1340907E-008, -6.03E-004
6.1341278E-008, -6.03E-004
6.1341648E-008, -4.40E-004
6.1342019E-008, -2.77E-004
6.1342389E-008, 4.9E-005
6.1342759E-008, -7.84E-004
6.1343130E-008, -2.77E-004
6.1343500E-008, -9.47E-004
6.1343870E-008, -4.40E-004
6.1344241E-008, -4.40E-004
6.1344611E-008, -1.110E-003
6.1344981E-008, -4.40E-004
6.1345352E-008, -2.77E-004
6.1345722E-008, -7.84E-004
6.1346093E-008, -4.40E-004
6.1346463E-008, -6.03E-004
6.1346833E-008, -4.40E-004
6.1347204E-008, -1.273E-003
6.1347574E-008, -2.77E-004
6.1347944E-008, -4.40E-004
6.1348315E-008, -7.84E-004
6.1348685E-008, -7.84E-004
6.1349056E-008, -2.77E-004
6.1349426E-008, -4.40E-004
6.1349796E-008, -6.03E-004
6.1350167E-008, -4.40E-004
6.1350537E-008, -6.03E-004
6.1350907E-008, -7.84E-004
6.1351278E-008, -1.273E-003
6.1351648E-008, -6.03E-004
6.1352019E-008, -1.436E-003
6.1352389E-008, -1.762E-003
6.1352759E-008, -6.03E-004
6.1353130E-008, -4.40E-004
6.1353500E-008, -1.436E-003
6.1353870E-008, -9.47E-004
6.1354241E-008, -9.47E-004
6.1354611E-008, -1.110E-003
6.1354981E-008, -1.273E-003
6.1355352E-008, -1.599E-003
6.1355722E-008, -1.110E-003
6.1356093E-008, -7.84E-004
6.1356463E-008, -7.84E-004
6.1356833E-008, -1.110E-003
6.1357204E-008, -1.110E-003
6.1357574E-008, -1.436E-003
6.1357944E-008, -1.273E-003
6.1358315E-008, -1.599E-003
6.1358685E-008, -6.03E-004
6.1359056E-008, -1.273E-003
6.1359426E-008, -2.902E-003
6.1359796E-008, -1.762E-003
6.1360167E-008, -2.088E-003
6.1360537E-008, -3.065E-003
6.1360907E-008, -1.925E-003
6.1361278E-008, -1.762E-003
6.1361648E-008, -1.436E-003
6.1362019E-008, -1.925E-003
6.1362389E-008, -2.250E-003
6.1362759E-008, -1.599E-003
6.1363130E-008, -3.572E-003
6.1363500E-008, -1.925E-003
6.1363870E-008, -7.84E-004
6.1364241E-008, -3.065E-003
6.1364611E-008, -4.224E-003
6.1364981E-008, -2.088E-003
6.1365352E-008, -3.065E-003
6.1365722E-008, -1.599E-003
6.1366093E-008, -3.065E-003
6.1366463E-008, -3.065E-003
6.1366833E-008, -2.088E-003
6.1367204E-008, -2.739E-003
6.1367574E-008, -3.898E-003
6.1367944E-008, -2.739E-003
6.1368315E-008, -3.898E-003
6.1368685E-008, -4.224E-003
6.1369056E-008, -3.898E-003
6.1369426E-008, -3.065E-003
6.1369796E-008, -2.250E-003
6.1370167E-008, -4.061E-003
6.1370537E-008, -4.224E-003
6.1370907E-008, -3.898E-003
6.1371278E-008, -3.572E-003
