Type:          average
Points:        1350
Count:         512
XInc:          7.40741E-013
XOrg:          6.0964500000E-008
YData range:   5.74400E-001
YData center:  -9.00000E-002
Coupling:      50 Ohms
XRange:        1.00000E-009
XOffset:       6.0964500000E-008
YRange:        5.70400E-001
YOffset:       -9.00000E-002
Date:          18 NOV 2019
Time:          09:51:14:28
Frame:         86100C:MY45030871
X Units:       second
Y Units:       Volt
XY Data:
6.1176352E-008, -1.7617E-003
6.1177093E-008, -1.7707E-003
6.1177833E-008, -1.7798E-003
6.1178574E-008, -1.7798E-003
6.1179315E-008, -1.7707E-003
6.1180056E-008, -1.7888E-003
6.1180796E-008, -1.7888E-003
6.1181537E-008, -1.7979E-003
6.1182278E-008, -1.7979E-003
6.1183019E-008, -1.7979E-003
6.1183759E-008, -1.7979E-003
6.1184500E-008, -1.8069E-003
6.1185241E-008, -1.8069E-003
6.1185981E-008, -1.8069E-003
6.1186722E-008, -1.8069E-003
6.1187463E-008, -1.8160E-003
6.1188204E-008, -1.8160E-003
6.1188944E-008, -1.8160E-003
6.1189685E-008, -1.8341E-003
6.1190426E-008, -1.8341E-003
6.1191167E-008, -1.8341E-003
6.1191907E-008, -1.8341E-003
6.1192648E-008, -1.8341E-003
6.1193389E-008, -1.8431E-003
6.1194130E-008, -1.8431E-003
6.1194870E-008, -1.8522E-003
6.1195611E-008, -1.8341E-003
6.1196352E-008, -1.8431E-003
6.1197093E-008, -1.8522E-003
6.1197833E-008, -1.8431E-003
6.1198574E-008, -1.8522E-003
6.1199315E-008, -1.8522E-003
6.1200056E-008, -1.8703E-003
6.1200796E-008, -1.8613E-003
6.1201537E-008, -1.8794E-003
6.1202278E-008, -1.8703E-003
6.1203019E-008, -1.8613E-003
6.1203759E-008, -1.8613E-003
6.1204500E-008, -1.8703E-003
6.1205241E-008, -1.8703E-003
6.1205981E-008, -1.8794E-003
6.1206722E-008, -1.9065E-003
6.1207463E-008, -1.8794E-003
6.1208204E-008, -1.8613E-003
6.1208944E-008, -1.8884E-003
6.1209685E-008, -1.8975E-003
6.1210426E-008, -1.8703E-003
6.1211167E-008, -1.8884E-003
6.1211907E-008, -1.8884E-003
6.1212648E-008, -1.8884E-003
6.1213389E-008, -1.8794E-003
6.1214130E-008, -1.8794E-003
6.1214870E-008, -1.8884E-003
6.1215611E-008, -1.8884E-003
6.1216352E-008, -1.8975E-003
6.1217093E-008, -1.8975E-003
6.1217833E-008, -1.9065E-003
6.1218574E-008, -1.8975E-003
6.1219315E-008, -1.8975E-003
6.1220056E-008, -1.9065E-003
6.1220796E-008, -1.8794E-003
6.1221537E-008, -1.8975E-003
6.1222278E-008, -1.8975E-003
6.1223019E-008, -1.8975E-003
6.1223759E-008, -1.9065E-003
6.1224500E-008, -1.8884E-003
6.1225241E-008, -1.8794E-003
6.1225981E-008, -1.8975E-003
6.1226722E-008, -1.9065E-003
6.1227463E-008, -1.8884E-003
6.1228204E-008, -1.9065E-003
6.1228944E-008, -1.8975E-003
6.1229685E-008, -1.9065E-003
6.1230426E-008, -1.8975E-003
6.1231167E-008, -1.8884E-003
6.1231907E-008, -1.8975E-003
6.1232648E-008, -1.8884E-003
6.1233389E-008, -1.8794E-003
6.1234130E-008, -1.8794E-003
6.1234870E-008, -1.8884E-003
6.1235611E-008, -1.8703E-003
6.1236352E-008, -1.8884E-003
6.1237093E-008, -1.8884E-003
6.1237833E-008, -1.8703E-003
6.1238574E-008, -1.8794E-003
6.1239315E-008, -1.8794E-003
6.1240056E-008, -1.8703E-003
6.1240796E-008, -1.8794E-003
6.1241537E-008, -1.8613E-003
